ID,TL-01,TL-02,TL-03,TL-04,TL-05,TL-06,TL-07,TL-08,TL-09,TL-10,G-01,G-02,G-03,G-04,G-05,U-01,U-02,U-03,U-04,U-05,CF-01,CF-02,CF-03,CF-04,CF-05,CF-06,CF-07,C-01,C-02,EF-01,EF-02,EF-03,EF-04,EF-05,EF-06,IT-01,IT-02,IT-03,IT-04,IT-05,IT-06
ELN-11,Kadi4Mat,"Kadi4Mat is the Karlsruhe Data Infrastructure for Materials Science, an open source software for managing research data. The goal of this project is to combine the ability to manage and share data, the repository, with the ability to analyze, visualize and transform these data, the electronic laboratory notebook (ELN).",Karlsruher Institut für Technologie (KIT),Kadi4Mat is an open source software for managing research data,https://kadi.iam.kit.edu/,Active,v0.51.0 released three weeks prior to date right,22/07/2024,"Secure software development life cycle (SDLC),
Continuous maintenance","Export to structured format,
Export to document format",Open Source,"Generic,
Materials",Free,Demo,Germany,Yes,"English,
Freely extensible,
German,
Multilingual",Online documentation,Complete statistics,None,"Browser forms,
Plain text editor,
Freehand/Sketches",All formats,Drag and Drop/File Chooser,"Complete content in machine readable format,
Formats suitable for publication,
Formats suitable for long term archiving","Define own templates,
Import of own templates","Full text search,
Advanced/conditional search",Role management,"Versioning,
Timestamping",None,Sample Tracking,"None,
Create own plug-ins",None,No,None,"Graphical,
Export possible,
Cross-project workflows","REST API,
Python API",Yes,"Browser based,
Responsive Design","Local,
Cloud of own choice","On-premises,
Software as a Service",Linux
ELN-12,LabArchives,"LabArchives is a SaaS application suite for better science used by more than 610,000 scientists to manage and protect research data, inventories, and resources. LabArchives products help scientists document their research data, prove and protect discoveries, and collaborate securely. LabArchives is the leading SaaS application platform for managing research data and is used in thousands of university lab courses and in more than 500 of the world's leading research organizations.","LabArchives, LLC","LabArchives is part of the Dotmatics platform. Dotmatics are owned by the company previously known as Insightful Science (Who own SnapGene, Genius and Prism and Lab Archives) and the entire set of companies have been rebranded as Dotmatics",https://www.labarchives.com/,Active,25/06/2024,02/07/2024,"Continuous maintenance,
Storage in multiple data centers,
Backup and restore,
Secure infrastructure","Data migration from other systems (incoming migration),
Individual backups of notebooks in multiple formats,
Backups of all notebooks simultaneously with transfer to an institutional repository or other storage location",Closed Source,"Generic,
Life Sciences,
Genetics,
Biochemistry,
Chemistry","Chargeable / Paid for / fee-based,
Freemium (Number of users, functions),
Per person / Tiered Pricing,
Academic,
Industry",Demo,"USA,
UK",Yes,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)",Yes,Offline cache,"Plain text editor,
Freehand/Sketches,
Annotation,
With internal links,
With external links,
Dictation function,
Scientific calculator,
Table editor,
Mathematical formula/equation editor,
XHTML-Editor,
Barcode Scanner,
Rich text editor",All formats,"Drag and Drop/File Chooser,
e-mail","Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Import from internet sources,
Import of own templates","Full text search,
Database queries,
Filtering,
Advanced/conditional search,
Search for reactions by chemical structure","Rights management,
Role management,
Notifications,
Comments","Audit Trail,
Electronic signature,
Versioning,
Timestamping","FERPA,
FISMA,
HIPAA,
Good Laboratory Practice (GLP),
ISO 27001,
Good Manufacturing practice (GMP),
FDA CFR 21 Part 11","Materials database,
LIMS connectivity,
Freezer Management,
Sample Tracking,
Inventory (devices)","DMP Tool,
Google Drive,
GoogleDocs,
Box,
One Drive,
Dropbox,
FAIRDOM,
JupyterHub,
eLife,
F1000Research,
Dataverse,
DSpace,
Figshare,
Github,
BioMed Central (Springer Nature),
ChemDoodle (iChemLabs),
FlowJo (BD),
GraphPad Prism (Dotmatics),
Label printing (Other),
Logger Pro (Vernier),
Mendeley (Elsevier),
MethodsX (Elsevier),
Microsoft Office Plug-in,
SnapGene (Dotmatics)","Device control,
Autoupload/folder watch",Unknown,"Task management,
Calendar","Yes,
Cross-project workflows,
Project-related workflows","REST API,
Other API",Unknown,"Browser based,
Mobile Application,
Responsive Design","Provider's Cloud,
Local","On-premises,
Software as a Service",Unknown
ELN-13,Labcollector (AgileBio),"LabCollector was originally developed for the life sciences, but can be extensively and easily adapted to manage all laboratory activities in research and development.",AgileBio SARL,The AgileBio project was founded in 2002 from the convergence of biological and informatics experiences of Pierre Rodrigues (Ph.D Virology Pasteur Institute and Paris 7 University),https://labcollector.com/,Active,v6.23 released 15 July 2024,24/07/2024,Continuous maintenance,"Data migration from other systems (incoming migration),
Backups of all notebooks simultaneously with transfer to an institutional repository or other storage location,
Export to structured format,
Export to packed format,
Export to document format",Closed Source,"Generic,
Life Sciences,
Biology,
Genetics,
Pharmacy,
Chemistry,
Biochemistry","Chargeable / Paid for / fee-based,
Freemium (Number of users, functions),
Academic,
Industry,
Per person / Tiered Pricing",Demo,"USA,
France",Unknown,Multilingual,"Online documentation,
User training (online, on site),
Support by provider (Consulting)",Unknown,Unknown,"Barcode Scanner,
Freehand/Sketches,
Chemical editor/sketching,
With external links,
Plain text editor,
Table editor,
Dictation function,
Scientific calculator,
XHTML-Editor,
Mathematical formula/equation editor,
Annotation,
With internal links",All formats,"e-mail,
SMS/MMS,
Drag and Drop/File Chooser","Formats suitable for long term archiving,
Formats suitable for publication","Define own templates,
Subject specific templates","Full text search,
Database queries,
BLAST Search,
Filtering,
Advanced/conditional search,
Search for reactions by chemical structure","Rights management,
Role management","Audit Trail,
Electronic signature,
Timestamping,
Versioning","FERPA,
FISMA,
HIPAA,
TickITplus,
ADA,
Good Laboratory Practice (GLP),
ISO 27001,
Good Manufacturing practice (GMP),
ASTM,
CROMERRR,
SAFE-BioPharma Digital Identity and Signature Standard,
FDA CFR 21 Part 11","Sample Tracking,
Freezer Management,
Materials database,
LIMS connectivity,
Inventory (devices),
Asset management","Slack,
Mind the Graph (Cactus)",Unknown,Yes,"Calendar,
Task management","Yes,
Graphical,
Cross-project workflows,
Project-related workflows","Other API,
REST API",Unknown,"Browser based,
Local client,
Mobile Application","Cloud of own choice,
Local,
Provider's Cloud","On-premises,
Software as a Service","Windows,
MacOS,
Linux"
ELN-14,LabWare,"LabWare's Electronic Laboratory Notebook offers the unique combination of experiment automation and procedure control, making it the ideal laboratory management software solution for both research and quality control settings.",LabWare Inc.,"LabWare was founded in 1987 in Wilmington, DE by Vance Kershner.",https://www.labware.com/lims/electronic-lab-notebook,Active,Blog being updated,25/07/2024,Backup and restore,Unknown,Closed Source,"Generic,
Life Sciences,
Genetics,
Chemistry,
Biology,
Pharmacology,
Biochemistry",Chargeable / Paid for / fee-based,Demo,USA,Yes,"English,
Freely extensible,
Multilingual","User training (online, on site),
Online documentation,
Support by provider (Consulting)",Unknown,Unknown,"Barcode Scanner,
With external links,
Chemical editor/sketching,
Mathematical formula/equation editor,
Scientific calculator,
XHTML-Editor,
Browser forms,
Freehand/Sketches,
Table editor,
Plain text editor,
Annotation",All formats,"e-mail,
SMS/MMS,
Drag and Drop/File Chooser","Formats suitable for long term archiving,
Formats suitable for publication,
Direct publication option","Import of own templates,
Subject specific templates","Full text search,
Database queries,
BLAST Search,
Filtering,
Advanced/conditional search,
Search for reactions by chemical structure","Role management,
Rights management","Audit Trail,
Timestamping,
Electronic signature,
Versioning","FERPA,
HIPAA,
FISMA,
TickITplus,
Good Laboratory Practice (GLP),
ISO 27001,
Good Manufacturing practice (GMP),
Good Clinical practice (GCP),
ASTM,
Health Level 7 (HL7),
CROMERRR,
SAFE-BioPharma Digital Identity and Signature Standard,
FDA CFR 21 Part 11","Materials database,
Sample Tracking,
Freezer Management,
LIMS connectivity,
Inventory (devices)","Marvin JS (ChemAxon),
MarvinSketch (ChemAxon),
Quality Analyst (Northwest Analytics),
SAP BTP","Autoupload/folder watch,
Device control",Yes,Calendar,"Yes,
Cross-project workflows,
Project-related workflows","Other API,
REST API,
SDK,
ODBC",Unknown,"Browser based,
Local client,
Mobile Application,
Responsive Design","Provider's Cloud,
Local,
Cloud of own choice","On-premises,
Software as a Service",Windows
ELN-15,Mbook Chemistry-Pro/Enterprise (Mestrelab),"Different to Mbook Chemistry and Analytical, Mbook Chemistry-Pro also includes functionalities such as COSHH assessment forms, inventory and stockroom tools for a convenient live management of your reagents and tracking/reporting of special compounds (eg: CMR) usage. The increased per person data storage limits match that of the hosted Enterprise version, where the only difference is that the Enterprise version contains all the functionality described within this entry and the non-Pro/Enterprise entry.",Mestrelab Research (Bruker BioSpin Corporation),"Effectively now owned by Bruker as part of SciY, which is their software arm launched in June 2023.",https://mestrelab.com/software/mbook-eln-general/,Active,Active site and upcoming events. Mbook v3.1.1 launched July 10th 2023.,25/07/2024,"Encryption in transit,
Backup and restore",Export to structured format,Closed Source,"Chemistry,
Life Sciences,
Pharmacy","Academic,
Industry,
Per person / Tiered Pricing,
Chargeable / Paid for / fee-based",Demo,Spain,No,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)",Yes,Unknown,"Chemical editor/sketching,
Plain text editor,
Scientific calculator,
With external links",All formats,"Mobile phone photo (via app),
Drag and Drop/File Chooser","Formats suitable for long term archiving,
Formats suitable for publication,
Complete content in document format,
Complete content in machine readable format",Unknown,"Full text search,
File/data hierarchy,
Advanced/conditional search,
Search for reactions by chemical structure","Role management,
External guest permitted","Audit Trail,
Electronic signature",FDA CFR 21 Part 11,"Inventory (devices),
Materials database","Other vendor products,
ChemDraw (Revvity Signals),
Marvin JS (ChemAxon)",Data analysis,Unknown,Task management,Unknown,REST API,No,"Browser based,
Mobile Application","Local,
Provider's Cloud","On-premises,
Software as a Service","Linux,
MacOS,
Windows"
ELN-16,RSpace,RSpace is a fully integrated sample management and electronic lab notebook solution. Build a record of your research in an ELN that connects with the research tools you already use.,Research Space,"The origins of RSpace go back to 2012, when in a trial researchers at the University of Wisconsin preferred its predecessor eCAT over a number of other electronic lab notebooks.",https://www.researchspace.com/,Active,v2.0.0 released last month ,23/07/2024,"Secure infrastructure,
Authentication,
Secure software development life cycle (SDLC),
Continuous maintenance,
Role-based access,
High availability and disaster recovery,
Backup and restore","Data migration from other systems (incoming migration),
Export to repository,
Export to packed format,
Export to structured format,
Export to document format","Open Source,
AGPL 3.0","Generic,
Life Sciences,
Chemistry,
Biochemistry","Free,
Freemium (Number of users, functions),
Per person / Tiered Pricing,
Academic,
Industry","Classroom,
Demo",UK,No,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)",Unknown,Offline cache,"Freehand/Sketches,
Plain text editor,
Rich text editor,
With external links,
Mathematical formula/equation editor,
Chemical editor/sketching,
Dictation function,
Scientific calculator,
Table editor,
XHTML-Editor",All formats,"e-mail,
Drag and Drop/File Chooser","Formats suitable for long term archiving,
Formats suitable for publication,
Direct publication option","Import from internet sources,
Import of own templates","Full text search,
Filtering,
Advanced/conditional search,
Search for reactions by chemical structure","Role management,
Rights management,
Notifications,
Comments","Audit Trail,
Electronic signature,
Versioning,
Timestamping","FERPA,
FISMA,
HIPAA,
TickITplus,
ADA,
Good Laboratory Practice (GLP),
ISO 27001,
Good Manufacturing practice (GMP),
Good Clinical practice (GCP),
ASTM,
Health Level 7 (HL7),
CROMERRR,
SAFE-BioPharma Digital Identity and Signature Standard,
FDA CFR 21 Part 11","Materials database,
LIMS connectivity,
Inventory (devices),
Sample Tracking","Slack,
Dataverse,
DSpace,
Figshare,
Dropbox,
One Drive,
Google Drive,
Box,
Egnyte,
GoogleDocs,
JoVE,
DMP Tool,
Jupyter,
Github,
ChemDraw (Revvity Signals),
MarvinSketch (ChemAxon),
Mendeley (Elsevier),
Microsoft Office Plug-in,
Teams,
SnapGene (Dotmatics)",Unknown,Yes,Calendar,"Cross-project workflows,
Project-related workflows",REST API,Yes,Browser based,"Local,
Cloud of own choice,
Provider's Cloud","Software as a Service,
On-premises","Linux,
MacOS"
ELN-17,Agilent SLIMS,"Agilent SLIMS combines a laboratory information management system (LIMS) and an electronic laboratory notebook (ELN) to enable end-to-end solutions and manage all content and all context in the laboratory. Agilent SLIMS integrates with simple and more complex instruments and supports workflows for Analytical, NGS, Biobanks and R&D labs. It is flexible and configurable, helping you increase your lab's productivity.",Agilent Technologies,"Agilent Technologies, Inc. is an American company that provides instruments, software, services, and consumables for the entire laboratory workflow. Its global headquarters is located in Santa Clara, California. Agilent was established in 1999 as a spin-off from Hewlett-Packard.",https://www.agilent.com/en/product/software-informatics/lab-workflow-management-software/slims,Active,Version 6.8,10/07/2024,"Storage in multiple data centers,
Secure software development life cycle (SDLC),
Backup and restore,
High availability and disaster recovery,
Encryption at rest,
Encryption in transit,
Authentication,
Role-based access",Vendor-supported outward migration,Closed Source,"Pharmacy,
Biology,
Generic,
Genetics,
Consumables","Academic,
Industry,
Per person / Tiered Pricing",Demo,"Germany,
Switzerland,
USA,
Belgium,
China",Yes,"French,
English,
Mandarin Chinese,
German,
Dutch","Online documentation,
User training (online, on site),
Support by provider (Consulting)","Configurable,
Yes",None,"Barcode Scanner,
Browser forms","Table formats,
Structured formats,
MS Office formats",Drag and Drop/File Chooser,Formats suitable for long term archiving,"Define own templates,
Import from internet sources,
Import of own templates","Database queries,
Full text search,
Advanced/conditional search","Rights management,
Role management","Audit Trail,
Electronic signature,
Versioning,
Timestamping","General Data Protection Regulation (GDPR),
HIPAA,
ISO 27001,
Good Laboratory Practice (GLP),
GxP,
FDA CFR 21 Part 11","LIMS connectivity,
Sample Tracking,
Materials database,
Inventory (devices),
Freezer Management,
Asset management,
Instrument management","In-house plugins,
Biobank,
Other vendor products,
iLab (Agilent),
Label printing (Other),
MassHunter (Agilent),
LabX (Mettler Toledo)","Autoupload/folder watch,
Data analysis,
Device control",Yes,Taskboard,"Yes,
Graphical,
Reports","REST API,
Python API,
Java API","No,
Yes","Responsive Design,
Browser based","Provider's Cloud,
Cloud of own choice,
Local","On-premises,
Software as a Service","iOS,
Linux,
MacOS,
Windows"
ELN-18,AI4Green,"An Electronic Laboratory Notebook (ELN) combining features, including data archival, collaboration tools, and green and sustainability metrics for organic chemistry, is presented. AI4Green is a web-based application, available as open-source code and free to use. It offers the core functionality of an ELN, namely, the ability to store reactions securely and share them among different members of a research team. As users plan their reactions and record them in the ELN, green and sustainable chemistry is encouraged by automatically calculating green metrics and color-coding hazards, solvents, and reaction conditions. The interface links a database constructed from data extracted from PubChem, enabling the automatic collation of information for reactions. The application’s design facilitates the development of auxiliary sustainability applications, such as our Solvent Guide. As more reaction data are captured, subsequent work will include providing “intelligent” sustainability suggestions to the user.",University of Nottingham,The ELN was developed by Professor Jonathan Hirst's Research Group at the University of Nottingham,https://ai4green.app/,Active,Still in active development with regular releases,12/07/2024,"Role-based access,
Backup and restore","Vendor-supported outward migration,
Export to document format,
Export to table format","Open Source,
AGPL 3.0",Chemistry,Free,Demo,UK,No,English,"Online documentation,
User training (online, on site)",Yes,"Offline cache,
Offline data capture","Browser forms,
Chemical editor/sketching,
Plain text editor,
Rich text editor",Direct only (CF-01),Direct only (CF-01),"Complete content in document format,
Formats suitable for long term archiving,
Formats suitable for publication",None,Search for reactions by chemical structure,"Comments,
Role management,
Rights management","Timestamping,
Versioning",None,None,"Ketcher Editor,
Marvin JS (ChemAxon)",None,No,None,No,None,No,"Local client,
Browser based","Provider's Cloud,
Local",Software as a Service,Unknown
ELN-19,Arxspan (Bruker BioSpin),"The Arxspan Electronic Lab Notebook System is completely cloud-based, without the need to purchase and install servers or databases. Users of the system can be added or removed at any time with a single click. In addition, scientists can be allowed access to any notebook in the system with the click of a mouse, allowing flexibility in the size and dynamics of research teams associated with a particular project. In addition, the cloud-based functionality of the system enables secure and efficient collaboration between universities, government agencies, NGOs, and industry.",Bruker BioSpin Corporation,"Arxspan and Arxlab are registered trademarks of Bruker. Both are part of SciY, which is their software arm launched in June 2023.",https://arxspan.com/product/electronic-lab-notebook/,Active,Legal notice on website not updated since 2023,12/07/2024,"Secure infrastructure,
Backup and restore,
High availability and disaster recovery",Unknown,Closed Source,"Life Sciences,
Chemistry,
Biology,
Generic,
Pharmacology",Per person / Tiered Pricing,Demo,USA,No,"English,
Japanese,
Multilingual","User training (online, on site),
Online documentation,
Support by provider (Consulting)",Unknown,Offline cache,"Barcode Scanner,
With external links,
Freehand/Sketches,
Chemical editor/sketching,
Dictation function,
Plain text editor,
Table editor,
Annotation","Document formats,
Table formats,
Compressed formats,
MS Office formats,
Structured formats,
Packed formats","e-mail,
Drag and Drop/File Chooser","Formats suitable for long term archiving,
Formats suitable for publication",Define own templates,"Full text search,
Database queries,
Advanced/conditional search,
Search for reactions by chemical structure","Role management,
Rights management","Audit Trail,
Electronic signature,
Timestamping,
Versioning","SAFE-BioPharma Digital Identity and Signature Standard,
Good Laboratory Practice (GLP),
FDA CFR 21 Part 11","Inventory (devices),
Materials database,
Sample Tracking,
Freezer Management,
LIMS connectivity","Egnyte,
Other vendor products,
ChemDraw (Revvity Signals),
Marvin JS (ChemAxon)","Data analysis,
Device control,
Autoupload/folder watch",Yes,Task management,"Yes,
Project-related workflows,
Cross-project workflows","Other API,
REST API",Yes,"Browser based,
Mobile Application",Provider's Cloud,Software as a Service,Unknown
ELN-20,BIOVIA Notebook,"BIOVIA Notebook is an easy-to-use and easy-to deploy ELN for organizations focused on data capture, intellectual property protection, information sharing, process documentation and overall lower total cost of ownership. BIOVIA Notebook provides a high degree of flexibility for electronic data capture, while still meeting the requirements of both small to mid-size companies and large global enterprises.
With BIOVIA Notebook, scientists can easily capture and record data on mobile devices for increased efficiency in the lab. Data is easy to search and find, by both text and chemical structures, increasing collaboration and eliminating “dark data” – the data which is often used only once and then forgotten or lost. Experiment templates save time and ensure consistency across the labs. The software is easy to use and learn, requiring minimal training – users are often up and running within an hour.",Biovia,Biovia is a subsidiary of Dassault Systèmes,https://www.3ds.com/products/biovia/notebook,Active,Website footer showing 2024 and pages appear maintained,16/07/2024,"Backup and restore,
Encryption in transit,
High availability and disaster recovery,
Role-based access,
Secure infrastructure,
Authentication",Export to document format,Closed Source,"Generic,
Genetics,
Chemistry,
Biology","Per person / Tiered Pricing,
Industry",None,"USA,
France",No,English,"Online documentation,
Support by provider (Consulting)",Unknown,Unknown,"Chemical editor/sketching,
Freehand/Sketches,
Plain text editor","Image formats,
Document formats,
MS Office formats,
Scientific formats",Drag and Drop/File Chooser,"Formats suitable for long term archiving,
Complete content in document format","Define own templates,
Import of own templates","Database queries,
Full text search,
Advanced/conditional search,
Search for reactions by chemical structure","Rights management,
Role management","Audit Trail,
Electronic signature,
Timestamping,
Versioning","Good Manufacturing practice (GMP),
Good Laboratory Practice (GLP),
ISO 27001,
FDA CFR 21 Part 11",LIMS connectivity,"Microsoft Office Plug-in,
ChemDraw (Revvity Signals),
Marvin JS (ChemAxon),
MarvinSketch (ChemAxon)",Unknown,No,Task management,No,REST API,No,"Browser based,
Local client","Provider's Cloud,
Local","On-premises,
Software as a Service","Android,
iOS,
Linux,
MacOS,
Windows"
ELN-21,BIOVIA Scientific Notebook,"BIOVIA Scientific Notebook is a cloud-native ELN on the 3DEXPERIENCE platform, enabling the next generation of laboratory informatics knowledge management. Scientific Notebook includes support for synthetic chemistry and integrated formulations workflows.",Biovia,Biovia is a subsidiary of Dassault Systèmes,https://www.3ds.com/products/biovia/scientific-notebook,Active,Website footer showing 2024 and pages appear maintained,16/07/2024,,,,,,,,,,,,,,,,,,,,,,LIMS connectivity,,,,,,,,,,,
ELN-22,BIOVIA Workbook,"BIOVIA Workbook is a multi-discipline and extensively configurable ELN which manages workflow authoring, procedure execution and sign-offs, and experimental documentation across different domains like Analytical Chemistry, Drug Development, Formulations, Process Chemistry or Biologics. ",Biovia,Biovia is a subsidiary of Dassault Systèmes,https://www.3ds.com/products/biovia/workbook,Active,Website footer showing 2024 and pages appear maintained,16/07/2024,,,,,,,,,,,,,,,,,,,,,,LIMS connectivity,,,,,,,,,,,
ELN-23,BrightLab,"BrightLab is smart lab management software that streamlines and centralizes your essential research information—from experiment ideation to data automation. With several interlocking modules, BrightLab includes a collaborative electronic lab notebook (ELN), real-time inventory management, eCommerce, material requests, and benchtop instrument schedule.",Research Stash,,,Inactive,,16/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-24,CDD Vault ,"CDD Vault ELN is a powerful and intelligent collaboration platform for biologists and chemists, and is further augmented by its fully integrated registration, visualization, and inventory capabilities.","Collaborative Drug Discovery, Inc.",CDD was founded in 2004 and has been securely hosting research data for thousands of scientists around the world.,https://www.collaborativedrug.com/,Active,Appears active from website footer,16/07/2024,Authentication,Unknown,Closed Source,"Biology,
Chemistry,
Consumables,
Life Sciences,
Natural Sciences","Academic,
Per person / Tiered Pricing,
Industry",Demo,USA,Yes,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)",Unknown,Unknown,"Chemical editor/sketching,
Table editor,
Rich text editor","MS Office formats,
Document formats,
Image formats",Drag and Drop/File Chooser,"Complete content in document format,
Complete content in machine readable format,
Formats suitable for publication",Define own templates,"Database queries,
Advanced/conditional search,
Search for reactions by chemical structure","Comments,
Rights management,
Role management","Audit Trail,
Electronic signature,
Timestamping","FISMA,
General Data Protection Regulation (GDPR),
SOC2,
FDA CFR 21 Part 11",Sample Tracking,"Ketcher Editor,
SnapGene (Dotmatics)",On request,No,Unknown,Unknown,REST API,Yes,Browser based,Provider's Cloud,Software as a Service,Unknown
ELN-25,Chemotion,"The Chemotion ELN was designed for chemists and adapted to the special requirements of chemical laboratory work and documentation. It therefore serves as a digitalization instrument for work in chemistry, developed to overcome the current limitations of the existing systems. To reach this goal, the development, improvement, and extension of the ELN is a community effort. The ELN is also used in other disciplines beyond chemistry as it offers a broad generic functionality to meet the needs of scientists working in interdisciplinary environments. These generic functions are still being extended and adapted.
Chemotion ELN offers a specific function that facilitates the publication of research data: it supports the transfer of data from a user's ELN account to a research data repository. This function reduces the scientists' effort in allowing access to research data, which is required by many funding agencies and helpful for the publication of scientific text publications. Currently, the ELN supports the transfer of data to the Chemotion repository.",Karlsruher Institut für Technologie (KIT),"The development of Chemotion started at the Karlsruhe Institute of Technology (KIT) in the group of Prof. Stefan Bräse as part of a DFG-funded project. Currently, the ELN Chemotion is developed by several software developers at different NFDI4Chem sites at KIT, FSU Jena, TU Braunschweig, IPB Halle, and RWTH Aachen. Chemotion is the ELN reference instance in NFDI4Chem (National Research Data Infrastructure for Chemistry).",https://www.chemotion.net/,Active,v1.9.3 released 13/05/24,16/07/2024,Continuous maintenance,"Software-bound import/export,
Export to repository","Open Source,
AGPL 3.0","Chemistry,
Natural Sciences,
Generic",Free,Demo,Germany,Yes,English,"Online documentation,
User training (online, on site),
Support by provider (Consulting)",No,Unknown,"Chemical editor/sketching,
Plain text editor,
Barcode Scanner,
Browser forms,
Scientific calculator","Structured formats,
Scientific formats,
Document formats,
Image formats,
Packed formats","Drag and Drop/File Chooser,
e-mail","Formats suitable for publication,
Complete content in machine readable format","Define own templates,
Import of own templates,
Microtitre plate templates","Advanced/conditional search,
Search for reactions by chemical structure",Rights management,Unknown,Good Laboratory Practice (GLP),"Materials database,
Sample Tracking","OpenBabel,
rdkit,
Ketcher Editor,
ChemDraw (Revvity Signals),
CAS SciFinder (ACS),
Marvin JS (ChemAxon),
Pubchem (NLM)",Autoupload/folder watch,Unknown,Calendar,Reports,"Other API,
REST API",Yes,Local client,Local,On-premises,"Linux,
MacOS,
Windows"
ELN-26,Datalab,"The main aim of datalab is to provide a platform for capturing the significant amounts of long-tail experimental data and metadata produced in a typical lab, and enable storage, filtering and future data re-use by humans and machines. The platform provides researchers with a way to record sample- and cell-specific metadata, attach and sync raw data from instruments, and perform analysis and visualisation of many characterisation techniques in the browser (XRD, NMR, electrochemical cycling, TEM, TGA, Mass Spec, Raman). Importantly, datalab stores a network of interconnected research objects in the lab, such that individual pieces of data are stored with the context needed to make them scientifically useful.",University of Cambridge,The system was originally developed in and is currently deployed for the Grey Group in the Department of Chemistry at the University of Cambridge.,https://the-datalab.readthedocs.io/en/latest/,Active,v0.4.1 released 15/07/24,16/07/2024,"Continuous maintenance,
Authentication",Unknown,"Open Source,
MIT","Chemistry,
Materials",Free,None,UK,Yes,English,"Online documentation,
Support by provider (Consulting)",No,None,"Browser forms,
Plain text editor,
Rich text editor",Scientific formats,Direct only (CF-01),Unknown,Subject specific templates,Unknown,Unknown,Unknown,None,"Sample Tracking,
Materials database",Winchat,"Autoupload/folder watch,
Data analysis","Yes,
Unknown",Unknown,Graphical,Python API,Yes,Browser based,Local,On-premises,"Linux,
MacOS,
Windows"
ELN-27,Docollab,Docollab solves your need to be clever about the research process so you can be smarter about your research.,Research Stash,,https://www.docollab.com/signin,Inactive,Shutdown 01/07/2024,19/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-28,E-WorkBook (IDBS),"IDBS E-WorkBook is the world's best informatics platform for scientific research and discovery. Its flexibility can meet the needs of your industry and the different business units in your organization today, and can be quickly adapted and scaled to meet all the needs of tomorrow.",IDBS,IDBS is one of many life sciences companies at Danaher Corporation.,https://www.idbs.com/products/e-workbook/,Active,Appears active from ELN Finder  (25/06/2024) and site,19/07/2024,Secure infrastructure,Export to structured format,Closed Source,"Life Sciences,
Chemistry,
Consumables,
Engineer,
Energy,
Biology,
Biochemistry",Chargeable / Paid for / fee-based,Demo,"UK,
USA",Yes,English,"User training (online, on site),
Online documentation,
Support by provider (Consulting)",Complete statistics,Unknown,"With external links,
Chemical editor/sketching,
Plain text editor,
With internal links,
Table editor",All formats,Drag and Drop/File Chooser,"Formats suitable for long term archiving,
Complete content in machine readable format",Define own templates,"Full text search,
Filtering,
Advanced/conditional search","Comments,
Role management","Audit Trail,
Electronic signature,
Versioning","ISO 27001,
TickITplus,
FDA CFR 21 Part 11","Materials database,
Inventory (devices),
Sample Tracking,
Freezer Management,
LIMS connectivity","Other vendor products,
Label printing (Other)","Device control,
Data analysis",Yes,Task management,Yes,"Other API,
REST API",Unknown,"Browser based,
Local client",Provider's Cloud,Software as a Service,Unknown
ELN-29,ecLabNote,"ecLabNote is a completely web-based electronic lab notebook (ELN) created by organic chemists for organic chemists.
- Easy to use
- Easy to learn
- No downloads – ecLabNote runs completely in your browser
- Cross platform
- Collaborate within your group
- No needs for hardware investments or backup-routines",Konsult Wallner AB,,http://www.eclabnote.com,Inactive,403 Forbidden error code on landing page.,19/07/2024,"Encryption at rest,
Encryption in transit,
Secure software development life cycle (SDLC),
Backup and restore,
Continuous maintenance,
Secure infrastructure,
Role-based access",Unknown,Closed Source,Chemistry,"Per person / Tiered Pricing,
Chargeable / Paid for / fee-based",Demo,Sweden,No,English,"Online documentation,
Support by provider (Consulting)",Unknown,Unknown,"Chemical editor/sketching,
Rich text editor",All formats,Drag and Drop/File Chooser,"Complete content in machine readable format,
Complete content in document format",Unknown,"Full text search,
Advanced/conditional search,
Search for reactions by chemical structure",Rights management,"Audit Trail,
Versioning",None,Materials database,None,Unknown,No,None,No,None,No,Browser based,Provider's Cloud,Software as a Service,Linux
ELN-30,eNovalys,,eNovalys,,,Inactive,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-31,Evernote,"Remember everything and tackle any project with your notes,
tasks, and schedule all in one place.",Evernote Corporation,,https://evernote.com/ ,Active,,26/07/2024,,,,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-32,Exemplar LIMS,,Sapio Sciences,,,Inactive,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELN-33,Findings,,Nucleobytes BV,,,Inactive,,26/07/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
